"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2018",1168.56,1172.79,1174.17,1162.58,"1.63B","-0.34%"
"May 14, 2018",1172.57,1171.31,1174.60,1168.78,"1.45B","0.36%"
"May 11, 2018",1168.31,1155.09,1168.31,1151.94,"1.36B","1.28%"
"May 10, 2018",1153.50,1163.51,1164.44,1151.19,"1.34B","-0.49%"
"May 09, 2018",1159.19,1162.18,1164.17,1154.82,"1.77B","-0.20%"
"May 08, 2018",1161.46,1177.05,1178.09,1157.97,"1.83B","-1.28%"
"May 07, 2018",1176.49,1180.38,1183.88,1172.78,"1.32B","0.07%"
"May 04, 2018",1175.71,1182.33,1185.94,1174.11,"1.66B","-0.75%"
"May 03, 2018",1184.62,1182.77,1191.14,1182.25,"1.33B","-0.14%"
"May 02, 2018",1186.26,1174.72,1186.26,1170.47,"1.28B","0.79%"
"Apr 30, 2018",1177.02,1179.90,1181.22,1174.86,"988.43M","-0.05%"
"Apr 27, 2018",1177.59,1175.37,1177.59,1167.44,"1.29B","0.49%"
"Apr 26, 2018",1171.85,1176.92,1181.37,1168.90,"1.12B","-0.40%"
"Apr 25, 2018",1176.61,1177.38,1182.74,1170.91,"1.55B","-0.57%"
"Apr 24, 2018",1183.41,1190.19,1196.94,1180.11,"1.59B","-0.16%"
"Apr 23, 2018",1185.35,1194.25,1198.11,1184.94,"1.14B","-0.80%"
"Apr 20, 2018",1194.87,1190.12,1198.48,1183.67,"1.90B","0.52%"
"Apr 19, 2018",1188.65,1174.94,1188.87,1173.69,"1.66B","1.58%"
"Apr 18, 2018",1170.16,1161.69,1170.33,1160.65,"1.34B","1.11%"
"Apr 17, 2018",1157.32,1166.08,1167.83,1155.26,"1.10B","-0.78%"
"Apr 12, 2018",1166.38,1165.43,1169.78,1159.85,"874.48M","0.20%"
"Apr 11, 2018",1164.07,1166.69,1170.40,1159.51,"1.13B","-0.05%"
"Apr 10, 2018",1164.71,1163.28,1166.33,1153.66,"1.28B","0.49%"
"Apr 09, 2018",1159.00,1146.71,1160.26,1144.88,"1.30B","1.03%"
"Apr 05, 2018",1147.21,1144.85,1149.65,1136.17,"1.38B","0.92%"
"Apr 04, 2018",1136.72,1166.24,1170.25,1136.63,"2.84B","-2.44%"
"Apr 03, 2018",1165.17,1168.17,1174.10,1163.11,"1.64B","-0.86%"
"Apr 02, 2018",1175.24,1170.17,1176.41,1168.00,"1.06B","0.29%"
"Mar 30, 2018",1171.79,1169.93,1173.48,1155.88,"1.74B","0.66%"
"Mar 29, 2018",1164.10,1176.58,1180.63,1156.01,"2.67B","-1.17%"
"Mar 28, 2018",1177.92,1186.23,1190.44,1175.21,"1.17B","-0.86%"
"Mar 27, 2018",1188.10,1192.26,1193.82,1186.21,"1.35B","0.02%"
"Mar 26, 2018",1187.86,1183.30,1188.12,1179.77,"659.28M","0.51%"
"Mar 23, 2018",1181.86,1169.67,1181.86,1168.81,"980.33M","-0.03%"
"Mar 22, 2018",1182.23,1189.31,1193.40,1180.58,"942.12M","-0.07%"
"Mar 21, 2018",1183.00,1189.53,1191.09,1180.94,"1.28B","-0.07%"
"Mar 20, 2018",1183.87,1180.51,1187.89,1179.17,"1.16B","-0.06%"
"Mar 19, 2018",1184.63,1192.99,1193.37,1183.14,"1.20B","-0.66%"
"Mar 16, 2018",1192.49,1191.60,1197.15,1188.92,"1.47B","-0.23%"
"Mar 15, 2018",1195.26,1196.52,1200.41,1191.51,"2.05B","-0.01%"
"Mar 14, 2018",1195.41,1192.35,1199.66,1190.48,"2.02B","-0.04%"
"Mar 13, 2018",1195.91,1187.79,1196.00,1184.30,"1.99B","0.44%"
"Mar 12, 2018",1190.66,1183.58,1190.66,1178.45,"1.66B","1.58%"
"Mar 09, 2018",1172.17,1175.16,1176.50,1162.09,"1.30B","0.21%"
"Mar 08, 2018",1169.75,1173.54,1182.05,1164.22,"1.42B","-0.02%"
"Mar 07, 2018",1170.00,1180.04,1181.08,1168.85,"1.52B","-1.04%"
"Mar 06, 2018",1182.24,1190.99,1196.52,1179.96,"1.77B","-0.61%"
"Mar 05, 2018",1189.54,1192.54,1195.81,1176.61,"1.18B","-0.30%"
"Mar 02, 2018",1193.17,1197.88,1201.62,1188.45,"1.40B","-1.03%"
"Feb 28, 2018",1205.57,1204.59,1214.22,1201.77,"1.43B","-0.03%"
"Feb 27, 2018",1205.90,1212.54,1223.67,1205.80,"2.09B","-0.03%"
"Feb 26, 2018",1206.31,1185.73,1206.38,1183.57,"1.35B","1.93%"
"Feb 23, 2018",1183.47,1175.55,1184.93,1171.66,"1.09B","1.03%"
"Feb 22, 2018",1171.45,1174.35,1181.76,1170.21,"1.54B","-0.20%"
"Feb 21, 2018",1173.75,1178.10,1180.27,1170.06,"3.04B","0.40%"
"Feb 20, 2018",1169.10,1176.10,1178.52,1168.80,"882.91M","-0.50%"
"Feb 19, 2018",1174.97,1176.50,1181.30,1174.15,"954.31M","0.27%"
"Feb 16, 2018",1171.83,1171.85,1174.72,1169.23,"644.34M","0.24%"
"Feb 15, 2018",1168.97,1166.48,1170.00,1161.26,"711.90M","0.77%"
"Feb 14, 2018",1160.09,1169.04,1169.87,1159.98,"1.02B","-0.42%"
"Feb 13, 2018",1164.95,1167.60,1168.59,1162.24,"1.22B","0.10%"
"Feb 12, 2018",1163.81,1156.89,1164.11,1153.98,"953.43M","0.79%"
"Feb 09, 2018",1154.71,1143.32,1157.25,1142.57,"1.36B","-0.19%"
